Name,Breed,Weight,Height,Life Expectancy,Coat Length,Grooming Needs,Energy Level,Intelligence Level,Playfulness,Vocalization,Adaptability
Diva,Abyssinian,4.2,20,14,2,0,8,7,8,5,10
Adorable,Siamese,4.0,22,12,1,1,8,7,9,9,10
Cosmo,Siamese,4.5,24,12,1,1,9,6,9,8,9
Nugget,Siamese,3.1,22,13,2,1,7,7,10,10,9
Galileo,Siamese,3.6,22,15,2,1,9,7,8,10,9
Quest,Ragdoll,8.1,31,12,3,2,4,7,6,4,8
Adorable,Ragdoll,5.1,25,14,3,2,4,6,4,2,7
Ichiro,British Shorthair,4.6,28,13,2,1,6,5,3,2,7
Giggles,Khao Manee,4.5,24,16,1,1,6,6,8,4,8
Winky,Siamese,4.1,21,15,1,1,9,8,8,10,10
Whitman,Siamese,3.3,23,12,2,1,8,7,8,8,9
Bootsy,Siamese,5.4,25,13,2,1,9,6,9,9,10
Catwoman,Siamese,4.8,24,14,1,1,8,6,9,9,9
Taffy,Siamese,5.9,24,15,2,1,8,7,8,10,9
Pookie,Abyssinian,3.9,24,10,2,0,8,6,8,5,9
Yuki,Siamese,4.7,26,14,1,1,9,7,9,8,10
Venus,Siamese,3.5,22,12,1,1,9,6,8,8,8
Lynx,Siamese,4.0,26,14,1,1,9,7,10,8,8
Ivy,Siamese,5.6,21,14,2,1,7,8,8,9,9
Booboo,Sphynx,3.6,24,13,0,0,6,7,5,9,9
Cricket,Siamese,5.0,21,14,1,1,8,6,9,10,10
Ryu,Scottish Fold,3.7,22,12,3,2,6,8,6,3,8
Peanut,Siamese,3.7,25,13,2,1,8,6,9,10,10
Squiggle,Siamese,4.2,20,15,2,1,9,8,10,10,9
Queen,Siamese,4.5,25,15,1,1,8,7,8,10,8
Dewdrop,Siamese,3.7,20,13,1,1,8,7,9,9,9
Deja,Siamese,3.5,20,15,1,1,9,8,9,8,10
Gala,Siamese,5.0,26,15,1,1,7,8,9,8,9
Yamaha,Siamese,3.4,23,14,2,1,8,7,8,9,8
Masaaki,Siamese,3.5,24,15,1,1,7,8,10,9,9
Amaya,Abyssinian,4.1,26,10,2,0,7,6,9,6,9
Checkers,Siamese,5.7,25,14,2,1,8,6,10,8,8
Flower,Siamese,3.0,20,12,2,1,9,6,10,9,10
Yori,Munchkin,3.3,21,12,2,1,7,7,7,4,9
Taka,Siamese,4.6,25,12,2,1,7,7,8,10,8
Kioshi,Siamese,5.0,25,15,1,1,9,6,9,10,8
Dejavu,Siamese,4.2,23,13,2,1,8,8,9,9,10
Hideo,Siamese,5.4,20,14,2,1,7,6,10,10,8
Sakura,Siamese,3.9,22,12,2,1,9,6,10,10,8
Goldilocks,Siamese,5.4,24,15,2,1,7,6,10,9,10
Miki,Siamese,4.9,23,13,1,1,8,8,8,9,9
Kuro,Siamese,4.8,20,12,2,1,8,8,8,10,8
Godiva,Siamese,3.3,22,15,2,1,8,6,8,10,8
Haiku,Siamese,4.4,25,12,1,1,8,7,8,10,8
Isamu,Siamese,4.3,25,15,1,1,8,7,9,9,9
Vida,Siamese,5.2,24,15,2,1,8,7,9,8,8
Willow,Siamese,4.1,23,13,1,1,8,7,10,9,10
Taffy,Siamese,5.5,24,14,1,1,7,6,10,9,8
Catnip,Siamese,4.2,20,14,1,1,7,7,10,10,9
Geronimo,Siamese,4.3,22,15,2,1,8,7,9,9,8
Goofy,Siamese,5.4,20,15,1,1,7,8,10,10,10
Sephora,Sphynx,4.0,23,14,0,0,8,6,6,9,9
Trinity,Persian,5.9,27,14,3,3,5,5,5,3,6
Venus,Siamese,5.6,20,14,2,1,9,8,9,8,8
Warrior,Siamese,4.0,24,14,2,1,7,8,8,9,9
Yoko,Siamese,3.9,21,15,2,1,8,8,8,10,10
French,Siamese,5.0,25,15,2,1,9,7,10,8,10
Munchkin,Siamese,4.6,20,15,1,1,9,8,9,8,10
Kitty,Siamese,5.2,23,15,2,1,7,7,8,8,8
Nao,Siamese,5.3,20,14,1,1,7,7,8,8,8
Gemini,Siamese,3.0,26,15,1,1,7,7,10,10,10
Rei,Siamese,5.4,21,13,2,1,7,7,8,9,10
Pookie,Siamese,4.6,22,15,1,1,9,7,10,10,10
Velvet,Siamese,5.1,23,13,1,1,7,8,8,8,8
Vonnegut,Siamese,5.0,22,14,1,1,8,6,8,9,10
Pocket,British Shorthair,6.7,30,16,2,1,6,7,4,4,8
Aloha,Siamese,5.1,22,15,1,1,7,7,9,9,8
Doraemon,Persian,3.6,30,10,3,3,4,6,3,2,6
Booboo,Siamese,5.5,25,12,2,1,8,7,9,10,8
Squirrel,Siamese,3.5,24,14,2,1,7,6,9,9,9
Springsteen,Siamese,5.7,22,12,2,1,7,6,10,10,8
Kitty,Siamese,3.4,24,12,1,1,7,8,8,8,10
Koji,Siamese,4.9,20,13,2,1,8,8,8,10,8
Gemini,Siamese,4.5,24,14,2,1,8,6,9,9,10
Wicca,Siamese,3.6,25,13,1,1,7,6,9,10,9
Hideko,Siamese,5.3,22,14,2,1,7,6,10,8,10
Marie,Siamese,4.9,22,13,1,1,8,8,10,10,8
Marigold,Siamese,5.7,26,12,1,1,8,8,10,10,10
Nibbles,Siamese,5.2,24,12,2,1,9,8,9,10,8
Aurora,Siamese,5.5,23,15,1,1,8,7,8,9,8
Hideo,Persian,5.1,25,15,3,3,4,4,4,2,6
Puggles,Siamese,5.1,24,12,1,1,9,7,8,10,9
Tortie,Siamese,3.6,24,15,2,1,9,8,10,10,10
Sacagawea,Siamese,4.4,21,13,2,1,8,6,10,10,10
Arwen,Siamese,4.2,21,14,2,1,7,6,8,10,8
Emi,Khao Manee,3.8,22,13,2,1,7,8,8,4,8
Katsuro,Siamese,3.3,23,13,2,1,7,6,9,10,10
Karma,Siamese,3.5,23,13,2,1,7,6,10,9,10
Hunny Bunny,Siamese,3.5,23,13,2,1,9,6,9,8,10
Kei,Persian,4.5,29,13,3,3,3,5,5,4,4
Violet,Siamese,5.2,21,13,2,1,7,8,9,10,9
Butterbean,Abyssinian,3.9,24,13,2,0,7,7,8,5,9
Hana,Sphynx,4.5,23,13,0,0,6,7,6,9,9
Hiromi,Ragdoll,7.8,31,16,3,2,4,6,6,4,8
Juniper,Siamese,3.5,21,13,1,1,8,6,9,9,9
Mocha,Siamese,3.5,24,13,1,1,8,6,10,9,8
Jimbo,Siamese,5.3,23,15,2,1,8,8,8,8,10
Haruki,Siamese,5.9,25,12,2,1,8,6,9,9,8
Galileo,Persian,5.6,25,11,3,3,4,5,3,3,4
Daiki,Siamese,3.7,20,15,1,1,9,8,8,8,8
Peaches,Siamese,5.5,21,14,1,1,7,8,10,8,10
Hickle,Khao Manee,4.5,21,16,1,1,7,6,8,5,9
Zohra,Khao Manee,4.3,26,15,1,1,8,7,8,4,9
Regala,Siamese,5.5,21,15,1,1,7,8,8,9,10
Yamaha,Bengal,5.3,34,12,2,1,8,6,9,6,9
Honcho,Bengal,5.9,35,12,1,1,10,7,10,6,8
Giggles,Khao Manee,4.3,24,12,2,1,8,6,7,5,10
Bella,Siamese,5.4,21,13,2,1,9,6,10,8,9
Jujube,Siamese,5.9,26,15,2,1,8,6,9,10,10
Persephone,Siamese,5.6,24,15,1,1,9,6,10,10,9
Figaro,Siamese,4.6,23,15,1,1,7,7,8,8,9
Taffy,Siamese,4.6,25,13,2,1,9,8,8,10,9
Logo,Siamese,4.3,22,15,2,1,9,7,9,10,8
Nibbles,Siamese,3.2,26,14,1,1,8,8,8,9,8
Lynx,Siamese,4.6,26,15,1,1,7,8,9,10,9
Arwa,Persian,6.4,30,11,3,3,4,4,5,4,6
Tamale,Siamese,5.1,24,15,2,1,7,8,9,9,9
Venus,Abyssinian,3.1,24,11,2,0,8,7,8,7,10
Snugums,Siamese,3.9,24,14,2,1,8,7,8,10,10
Esperanto,Siamese,5.0,25,13,2,1,7,8,9,9,9
Katsuo,Siamese,4.2,25,12,1,1,8,6,8,10,9
Adorable,Siamese,3.3,22,12,2,1,9,6,10,8,8
Schmoopy,Bengal,4.1,33,13,1,1,8,7,10,8,8
Houdini,Persian,4.3,32,14,3,3,4,6,5,2,6
Hiro,Siamese,3.2,25,15,2,1,9,8,10,10,10
Rembrandt,Siamese,3.6,20,13,1,1,8,8,10,9,10
Daisy,Siamese,4.8,23,12,1,1,9,8,9,8,10
Ziggy,Persian,6.4,26,15,3,3,4,4,5,3,4
Giggles,British Shorthair,4.9,29,13,2,1,5,5,4,4,8
Akihiro,Sphynx,4.9,20,13,0,0,6,7,5,7,7
Katsuo,Bengal,6.8,29,14,2,1,10,7,10,8,8
Cookie,Khao Manee,3.1,20,13,2,1,6,6,9,3,8
Amigo,Siamese,5.9,22,13,1,1,7,8,8,10,9
Snickers,Siamese,3.6,24,15,2,1,8,7,9,9,9
Jiggles,Siamese,4.5,24,14,1,1,9,8,10,8,10
Zohra,Siamese,4.2,23,12,1,1,9,6,10,10,8
Pickles,Abyssinian,4.2,21,11,2,0,8,8,8,5,10
Cricket,Khao Manee,3.2,24,16,1,1,8,6,7,5,8
Jasmine,Siamese,4.5,23,15,2,1,8,6,8,10,8
Maeko,Siamese,4.3,25,12,2,1,9,7,9,10,8
Feline,Siamese,5.6,26,15,1,1,9,6,10,8,9
Marbles,Siamese,3.4,21,14,1,1,7,7,10,8,10
Nariko,Siamese,4.1,26,12,2,1,9,6,10,9,10
Masuru,Ragdoll,7.1,25,12,3,2,5,5,4,3,6
Hana,Khao Manee,4.2,22,14,2,1,7,6,8,4,9
Hickle,Siamese,5.9,22,13,1,1,7,7,9,8,8
Norio,Bengal,4.7,27,16,2,1,9,6,9,6,7
Amiga,Siamese,4.1,22,13,2,1,9,8,9,9,8
Phoenix,Siamese,4.4,24,12,2,1,7,8,9,9,8
Catwoman,Siamese,5.1,20,12,1,1,8,7,9,9,8
Checkers,Khao Manee,3.5,24,14,2,1,7,8,8,5,10
Noodles,Siamese,5.8,23,13,1,1,8,8,8,8,9
Blackberry,Sphynx,4.2,25,14,0,0,6,5,5,8,7
Ariel,Siamese,3.6,24,15,2,1,7,7,8,10,8
Daffodil,Siamese,4.3,24,13,2,1,7,6,8,8,8
Cookie,Siamese,5.6,20,13,2,1,7,7,8,8,8
Dejavu,Siamese,4.4,23,13,2,1,8,6,9,8,10
Mookie,Siamese,3.2,26,12,1,1,7,8,9,9,10
Nori,Siamese,5.7,23,14,2,1,7,6,8,10,8
Pele,Siamese,5.6,26,15,2,1,8,6,9,10,8
Ruby,Siamese,5.7,22,13,1,1,8,6,10,9,10
Katsuo,Siamese,5.6,26,13,1,1,7,7,10,8,9
Dimples,Ragdoll,7.0,27,15,3,2,5,6,6,4,7
Cloudy,Siamese,3.7,22,12,2,1,8,7,9,9,9
Hippie,Siamese,3.4,20,12,1,1,7,7,8,10,9
Godfather,Abyssinian,3.7,22,13,2,0,8,7,7,7,8
Jujube,Siamese,5.3,20,13,1,1,7,8,9,8,10
Amore,Siamese,3.3,21,12,1,1,8,7,9,10,8
Wizard,Siamese,5.0,20,15,2,1,9,7,8,8,8
Ivory,Bengal,4.1,35,13,2,1,8,7,9,6,9
Sugar,Siamese,4.8,20,13,2,1,8,7,9,10,10
Sushi,Abyssinian,4.4,20,14,2,0,9,8,7,6,10
Amadeus,Siamese,4.8,21,14,2,1,9,6,8,8,8
Oki,Siamese,5.5,25,14,1,1,8,8,9,8,8
Hideki,Siamese,4.4,26,13,1,1,7,7,9,10,9
Diva,Khao Manee,4.1,25,16,2,1,7,7,8,3,9
Pumpkin,Persian,6.4,28,13,3,3,5,6,3,2,6
Chika,Siamese,4.9,26,14,2,1,8,7,10,10,10
Pocket,Siamese,5.8,24,12,2,1,9,6,10,10,8
Cute,Siamese,5.1,24,13,2,1,8,6,9,10,10
Orion,Siamese,3.5,22,14,1,1,9,8,8,10,10
Tuggles,Siamese,3.3,24,15,1,1,7,6,9,10,8
Cupcake,Siamese,5.2,26,12,1,1,7,6,9,8,10
Poppy,Siamese,5.0,25,13,2,1,7,6,9,9,8
Geneva,Siamese,5.6,26,14,2,1,9,7,8,10,10
Butterball,Siamese,5.3,20,15,1,1,9,8,8,8,8
Juniper,Siamese,4.0,22,12,2,1,7,6,8,9,8
Goofy,Siamese,3.4,24,14,1,1,8,8,10,10,9
Cuddles,Siamese,4.7,23,14,2,1,8,6,10,8,9
Orion,Siamese,4.0,25,14,2,1,9,7,10,9,9
Fruit Loop,Siamese,5.6,25,14,1,1,7,7,9,8,8
Queen,Siamese,4.2,26,15,2,1,7,8,9,9,9
Corazon,Sphynx,4.8,25,12,0,0,6,5,5,8,7
Zippy,Bengal,7.4,29,15,2,1,8,8,10,8,9
Ariel,Siamese,5.4,25,14,2,1,8,7,8,9,9
Michiko,Siamese,3.3,21,12,2,1,8,8,10,9,9
Kaddish,Siamese,4.9,24,15,2,1,7,8,9,8,10
Sakura,Bengal,5.6,34,13,1,1,8,6,10,8,7
Mirage,Siamese,3.6,25,13,2,1,8,7,8,9,8
Ryu,Siamese,4.9,22,14,1,1,7,7,10,9,8
Jasmine,Ragdoll,8.4,30,14,3,2,4,7,5,4,6
Athena,Siamese,5.2,21,12,2,1,8,7,9,9,8
Norio,Siamese,3.4,21,13,1,1,9,8,9,8,9
Baby Bear,Siamese,4.0,24,13,1,1,8,6,10,10,9
Karma,Siamese,5.7,21,12,2,1,7,6,10,10,10
Hippie,Sphynx,4.5,23,12,0,0,7,7,6,9,7
Radar,Siamese,3.5,26,14,2,1,8,6,9,9,9
Cuddlebug,Siamese,3.9,21,12,2,1,8,7,9,10,8
Tarzan,Siamese,4.6,25,15,2,1,8,6,8,9,8
Cupcake,Siamese,5.3,22,14,1,1,7,6,9,8,10
Nesca,Siamese,4.6,25,15,2,1,9,8,9,10,8
Leia,Sphynx,4.3,24,12,0,0,8,5,5,9,9
Caramel,Siamese,3.7,22,14,2,1,9,7,9,8,8
Sweet Pea,Siamese,5.3,25,14,2,1,8,8,9,9,9
Moses,Siamese,5.0,20,12,2,1,8,7,10,10,9
Masi,Siamese,5.2,23,15,2,1,9,7,9,9,10
Kitty,Siamese,5.9,21,13,1,1,8,8,8,10,10
Iggy,Siamese,5.1,20,12,1,1,9,8,8,9,10
Euclid,Siamese,5.1,25,15,2,1,9,7,9,9,8
Nori,Siamese,5.9,21,15,2,1,7,7,9,9,8
Panda,Siamese,3.4,20,12,1,1,8,7,10,10,9
Persephone,Persian,6.2,29,12,3,3,4,4,5,3,6
Christmas,Siamese,4.5,25,13,1,1,7,6,10,9,9
Caramel,Siamese,5.4,23,12,1,1,7,8,10,9,9
Amigo,Siamese,4.0,25,12,1,1,9,7,10,10,8
Slinky,Ragdoll,6.3,32,13,3,2,4,6,5,3,7
Dumpling,Siamese,4.4,22,15,1,1,7,7,8,8,9
Morocco,Siamese,5.2,21,13,2,1,8,6,8,10,10
Twinkie,Siamese,3.1,25,13,1,1,7,8,9,9,8
Godfather,Siamese,5.7,23,12,2,1,7,8,9,10,8
Vanilla,Siamese,3.9,25,14,2,1,8,8,8,8,8
Persephone,Persian,5.3,31,14,3,3,5,6,5,4,5
Figaro,Siamese,5.5,21,13,1,1,9,7,10,8,9
Ladybug,Siamese,3.9,23,13,1,1,7,7,8,10,10
Jazzy,Siamese,5.7,22,14,2,1,8,6,10,9,10
Gum Drop,Siamese,5.9,23,12,2,1,9,7,8,9,8
Amaya,Siamese,5.3,22,12,1,1,8,8,8,8,9
Hunny Bunny,Siamese,3.7,22,14,1,1,7,8,9,10,10
Dior,Sphynx,3.7,25,13,0,0,7,5,6,7,7
Blossom,Siamese,4.3,22,15,2,1,9,8,8,9,10
Nibs,Siamese,3.7,26,12,2,1,9,8,9,10,8
Tuggles,Khao Manee,3.7,22,14,2,1,7,8,7,4,10
Ariel,Siamese,3.4,24,12,2,1,9,6,9,8,10
Goosebump,Siamese,3.8,23,15,1,1,9,8,9,10,8
Hisashi,Siamese,5.1,20,15,1,1,8,8,10,8,10
Emi,Siamese,3.8,25,12,2,1,9,6,10,9,10
Godiva,Siamese,5.0,23,13,2,1,8,7,10,8,9
Quest,Persian,5.8,30,11,3,3,5,5,4,3,5
Squirrel,Siamese,3.9,25,15,1,1,9,8,9,10,9
Hikari,Siamese,5.5,25,13,2,1,9,6,9,8,8
Vista,Abyssinian,3.1,20,15,1,0,9,6,9,7,9
Kuro,Siamese,4.2,23,14,2,1,9,6,8,9,9
Hoshi,Siamese,5.0,21,13,2,1,8,6,10,8,10
Gemini,Siamese,3.2,25,14,2,1,8,6,8,10,9
Deja,Siamese,6.0,20,13,2,1,9,6,8,8,8
Marshmallow,Persian,4.3,28,12,3,3,3,4,5,4,4
Polkadot,Sphynx,4.0,25,12,0,0,6,5,5,7,9
Asa,Bengal,5.5,29,16,1,1,10,6,9,6,8
Katsuo,Siamese,5.0,25,13,1,1,9,8,9,9,8
Naoki,Siamese,3.5,24,15,2,1,7,6,9,9,9
Lagos,Siamese,3.6,20,15,2,1,8,7,10,10,9
Giggles,Munchkin,2.3,17,12,1,1,7,6,9,4,8
Ziggy,Siamese,4.2,25,15,2,1,9,6,10,8,8
Keiko,Siamese,3.8,22,14,1,1,7,6,9,9,9
Fonz,Siamese,4.6,20,14,1,1,9,8,8,8,9
Deja,Siamese,3.5,25,14,2,1,7,8,9,9,10
Sephora,Siamese,5.7,20,13,2,1,7,6,9,10,8
Cricket,Siamese,4.2,26,14,1,1,9,8,10,8,9
Goldie,Siamese,4.3,23,14,1,1,8,7,9,9,10
Sushi,Siamese,4.4,24,14,2,1,9,8,9,9,9
Noriko,Ragdoll,6.3,32,17,3,2,3,5,5,4,8
Penelope,Siamese,5.3,26,13,1,1,9,8,8,9,10
Buggles,Siamese,4.9,21,13,2,1,8,6,9,9,8
Twinkle,Siamese,4.0,20,15,1,1,7,6,9,10,8
Momo,Siamese,4.6,25,14,2,1,7,6,9,9,10
Rumi,Sphynx,3.7,23,12,0,0,7,5,7,8,8
Masaaki,Siamese,5.8,26,12,1,1,9,8,10,9,10
Masi,Abyssinian,4.9,23,15,2,0,8,6,8,6,8
Zippy,Siamese,3.8,23,13,1,1,7,7,10,9,8
Rishi,Siamese,3.9,23,14,2,1,8,8,10,9,8
Tamale,Siamese,4.2,24,15,1,1,8,6,9,10,9
Esperanto,Persian,5.7,26,12,3,3,3,4,3,3,4
Yuki,Siamese,5.2,20,15,1,1,7,7,10,9,9
Yoshi,Persian,3.3,32,12,3,3,4,4,5,3,5
Mittens,Siamese,3.2,22,12,2,1,9,8,9,9,10
Snowball,Siamese,5.3,23,15,2,1,7,7,9,9,8
Euripides,Ragdoll,6.5,27,17,3,2,3,5,5,4,6
Yuki,Abyssinian,4.6,22,13,2,0,8,6,7,7,10
Mirage,Siamese,4.1,20,13,1,1,9,7,10,9,10
Jimbo,Siamese,5.0,21,14,2,1,7,6,8,9,9
Juro,Persian,5.0,30,11,3,3,4,6,4,2,4
Kenji,Persian,6.8,29,10,3,3,5,4,5,3,4
Blossom,Siamese,6.0,23,12,1,1,9,6,8,9,9
Chipmunk,Persian,4.3,28,14,3,3,5,5,5,4,6
Mars,Siamese,3.7,25,15,1,1,7,6,8,10,9
Gum Drop,Siamese,3.3,25,12,1,1,9,8,9,10,9
Eri,Siamese,4.8,24,15,2,1,7,8,8,10,10
Willow,Bengal,7.3,26,12,2,1,9,7,10,8,7
Marigold,Siamese,3.1,21,13,1,1,8,6,10,9,10
Tofu,Siamese,3.7,23,15,1,1,8,6,8,9,8
Taiki,Siamese,3.4,26,15,2,1,7,6,9,10,10
Pharaoh,Bengal,4.7,25,12,2,1,10,7,9,6,9
Misty,Siamese,3.2,20,14,2,1,7,8,8,10,9
Tamale,Siamese,5.3,21,12,1,1,9,8,8,9,8
Claws,Sphynx,4.5,22,12,0,0,7,6,5,9,9
Fuku,Siamese,4.9,22,12,2,1,9,8,8,10,10
Gorgeous,Siamese,4.6,20,15,2,1,8,6,10,10,8
Nibbles,Khao Manee,4.9,23,15,2,1,7,7,9,3,9
Zen,Siamese,4.6,21,12,1,1,9,8,8,8,10
Minerva,Ragdoll,8.5,31,16,3,2,4,6,4,3,6
Augustus,Siamese,4.2,22,15,1,1,8,6,8,10,8
Yoshie,Siamese,5.8,25,15,2,1,7,8,10,9,10
Amore,Siamese,4.7,23,15,2,1,8,8,9,10,9
Masaaki,Siamese,3.8,22,12,1,1,8,7,9,8,10
Unique,Siamese,4.2,22,13,1,1,8,7,8,8,10
Ferrari,Siamese,5.4,22,15,2,1,8,6,8,9,8
Daisy,Bengal,7.4,26,12,1,1,8,8,9,7,7
Puddin,Siamese,4.3,20,13,1,1,8,7,8,9,9
Opal,Siamese,3.3,21,12,1,1,7,7,8,8,10
Masuru,Siamese,4.6,20,14,1,1,9,8,8,10,8
Typhoon,Siamese,3.3,25,12,2,1,7,8,9,10,10
Kiyoshi,Khao Manee,3.6,23,12,2,1,7,6,9,4,8
Toshi,Abyssinian,4.0,23,10,2,0,7,6,8,5,8
Aloha,Khao Manee,3.3,25,12,2,1,8,7,8,4,8
Soda pop,Siamese,4.7,22,15,2,1,7,8,9,8,8
Ladybug,Khao Manee,4.0,22,15,1,1,7,8,9,5,10
Cute,Siamese,5.7,26,15,2,1,7,7,8,8,10
Yukio,Siamese,3.2,22,14,1,1,7,6,10,8,8
Dior,Siamese,5.2,26,14,1,1,7,7,8,8,9
Booboo,Siamese,5.2,23,12,2,1,7,6,8,10,10
Harmonica,Siamese,3.2,22,14,1,1,8,7,9,9,10
Koto,Siamese,4.8,24,14,1,1,9,8,8,9,10
Shira,Siamese,4.1,24,12,1,1,8,6,8,9,10
Sake,Siamese,4.4,20,12,1,1,8,7,9,9,9
Reiko,Ragdoll,7.5,31,16,3,2,4,7,6,2,6
More,Siamese,3.8,25,14,1,1,9,6,8,8,8
Butterfly,Siamese,4.3,22,14,2,1,8,7,10,9,10
Houdini,Siamese,4.2,25,13,1,1,7,8,9,8,10
Samurai,Siamese,4.3,22,15,1,1,7,7,10,9,10
Nietzsche,Siamese,5.1,24,15,2,1,7,8,10,10,9
Jiggles,Siamese,5.1,22,15,1,1,8,8,10,10,10
Osprey,Siamese,4.9,23,14,1,1,8,6,10,8,8
Matsui,Siamese,3.6,20,14,1,1,7,6,9,8,10
Sapphire,Siamese,3.0,26,12,2,1,9,6,9,8,9
Michio,Siamese,4.4,23,13,2,1,9,6,9,9,10
Flipper,Siamese,3.7,23,12,2,1,7,6,9,8,9
Electra,Siamese,5.5,20,13,1,1,7,6,8,10,9
Cricket,Siamese,3.2,24,12,2,1,8,8,9,10,10
Ivy,Siamese,3.2,20,13,1,1,9,6,8,8,8
Guinevere,Siamese,5.7,23,12,1,1,7,7,8,10,9
Sho,Siamese,3.5,20,12,1,1,8,7,8,9,8
Hikari,Siamese,5.9,20,12,1,1,7,6,9,9,8
Eri,Siamese,4.8,21,13,1,1,7,7,8,10,10
Umeko,Siamese,5.2,22,13,1,1,9,8,8,10,10
Cuddles,Persian,5.1,28,14,3,3,4,5,3,2,6
Nariko,Siamese,3.1,22,12,2,1,9,7,8,9,8
Jujube,Siamese,3.2,26,15,1,1,7,7,10,8,8
Kitty,Siamese,3.7,23,14,2,1,8,6,10,8,10
Haruko,Persian,4.3,31,14,3,3,5,6,5,4,6
