Name,Breed,Weight,Height,Life Expectancy,Coat Length,Grooming Needs,Energy Level,Intelligence Level,Playfulness,Vocalization,Adaptability
Unique,Khao Manee,3.1,24,12,2,1,6,7,9,4,8
Sumo,Scottish Fold,3.3,26,15,3,2,6,7,6,3,8
Queen,Munchkin,3.6,20,13,1,1,6,8,8,4,7
Napoleon,Bengal,4.0,31,16,2,1,8,7,9,7,8
Oki,Khao Manee,4.4,23,16,1,1,7,6,9,4,10
Arwen,Sphynx,3.9,22,14,0,0,6,6,6,8,7
Goofy,Khao Manee,4.9,20,12,2,1,6,7,8,4,9
Mars,Ragdoll,6.4,32,14,3,2,4,5,5,4,8
Twinkles,Siamese,3.4,21,13,2,1,8,6,9,8,8
Rickles,Bengal,4.4,35,16,2,1,9,8,9,6,7
Yoshi,Abyssinian,5.0,20,12,1,0,8,6,8,6,9
Hercules,Persian,5.8,30,12,3,3,5,4,5,4,6
Whiskers,Siamese,4.1,23,13,2,1,8,8,10,8,10
Cookie,Persian,5.1,31,10,3,3,5,5,4,3,5
Teacup,Persian,3.6,27,11,3,3,3,6,5,3,4
Crocket,Persian,4.2,28,10,3,3,5,5,3,4,6
Jazzy,Persian,3.9,27,12,3,3,3,6,5,3,6
Booboo Beans,Khao Manee,4.6,24,13,2,1,7,7,8,3,10
Athena,British Shorthair,5.6,30,13,2,1,4,7,3,3,7
Squirrel,Bengal,4.5,35,12,1,1,8,6,10,6,9
Cho,Ragdoll,4.9,32,14,3,2,4,7,4,4,7
Wiggles,British Shorthair,5.4,27,13,1,1,6,6,3,3,8
Twinkles,Siamese,4.3,25,14,1,1,8,8,9,10,9
Kioko,Munchkin,2.9,20,13,2,1,7,6,7,4,8
Cuddles,Ragdoll,4.7,28,12,3,2,3,7,5,3,6
Harmonica,Sphynx,3.6,24,14,0,0,6,7,5,7,7
Jazzy,British Shorthair,6.4,28,17,1,1,4,5,4,2,8
Sake,British Shorthair,6.7,29,17,2,1,4,7,3,4,8
Hugo,British Shorthair,5.8,30,17,1,1,5,5,3,3,6
Sho,Munchkin,3.0,16,12,2,1,7,8,7,4,9
Kabuki,British Shorthair,4.2,25,15,1,1,4,5,5,2,6
Hercules,British Shorthair,5.0,27,17,1,1,5,7,4,3,7
Cinnamon,Sphynx,4.7,24,12,0,0,7,6,5,7,7
Sapphire,Ragdoll,6.2,30,17,3,2,5,7,6,3,8
Wizard,Abyssinian,3.0,23,11,1,0,8,7,7,5,10
Jiggles,Bengal,6.7,27,12,2,1,8,8,9,8,7
Amaya,Persian,4.2,26,14,3,3,3,6,3,3,4
Mai,Scottish Fold,4.2,24,14,3,2,5,6,6,5,7
Kaddish,Sphynx,4.3,20,13,0,0,7,5,5,7,9
Sparkles,Scottish Fold,5.1,25,14,3,2,6,7,7,4,7
Tinkerbell,Scottish Fold,3.6,22,12,2,2,5,7,6,5,9
Keiko,Munchkin,3.3,20,14,1,1,7,7,7,6,9
Akihiro,Munchkin,3.0,17,13,2,1,6,6,9,6,7
Bodhi,Bengal,7.6,30,15,2,1,9,8,10,6,7
Bella,Munchkin,3.0,19,14,1,1,7,7,8,5,9
Feline,Persian,5.4,28,12,3,3,3,6,3,2,6
Gemini,Khao Manee,4.3,26,13,1,1,8,8,9,3,10
Twinkle,Siamese,4.7,24,12,1,1,9,7,10,10,9
Ichiro,Sphynx,3.4,21,13,0,0,7,6,6,8,9
Daisy,Persian,4.7,26,13,3,3,3,5,4,4,5
Electro,Munchkin,3.0,21,12,2,1,5,7,9,6,9
Balzac,Abyssinian,3.3,25,13,2,0,8,7,8,5,9
Picasso,Abyssinian,3.2,21,14,2,0,7,7,7,7,10
Zena,Munchkin,3.0,16,13,2,1,5,6,9,6,7
Suki,Siamese,5.9,20,12,1,1,7,8,10,10,9
Tipsy,Persian,3.9,32,10,3,3,4,5,4,2,4
Nutmeg,Scottish Fold,3.4,21,12,3,2,5,7,6,3,9
Velvet,Bengal,6.7,34,13,2,1,10,6,10,8,7
Satya,British Shorthair,5.4,26,14,1,1,5,7,4,3,7
Haiku,Scottish Fold,3.7,24,13,3,2,5,8,6,5,9
Balzac,Munchkin,3.1,19,14,2,1,7,8,9,5,9
Poppy,British Shorthair,6.8,25,12,2,1,4,7,3,3,6
Dizzy,Ragdoll,4.5,29,14,3,2,4,5,5,3,6
Eliazar,Scottish Fold,5.8,22,12,2,2,6,6,5,3,8
Buddha,Bengal,6.1,31,15,2,1,8,8,9,6,9
Suzuki,Abyssinian,4.0,21,12,2,0,9,8,9,6,9
Goosebump,Siamese,4.8,25,14,2,1,8,8,10,9,9
Dante,Siamese,5.4,25,12,1,1,9,8,10,9,8
Muffin,Siamese,4.3,20,13,2,1,7,6,10,9,10
Jiggles,Persian,5.9,25,14,3,3,5,4,3,2,4
YinYang,Bengal,4.1,33,13,2,1,9,7,10,8,8
Butterbean,Munchkin,3.2,15,14,2,1,6,6,8,5,8
Hobo,Khao Manee,3.8,23,16,1,1,7,8,8,4,10
Noodles,Munchkin,2.8,20,13,1,1,5,8,9,5,8
Fuzzie,Scottish Fold,3.6,25,14,3,2,4,6,7,4,9
Leia,Ragdoll,6.9,31,16,3,2,3,6,5,4,8
Feline,Ragdoll,4.4,28,15,3,2,4,5,6,3,7
Lynx,Persian,3.3,32,11,3,3,5,6,4,3,5
Aria,Sphynx,4.5,24,12,0,0,8,6,7,8,7
Jellybean,Bengal,4.0,32,12,1,1,8,6,10,6,8
Fantasy,Ragdoll,8.2,31,15,3,2,4,7,6,2,7
Ivory,Scottish Fold,4.5,20,15,2,2,6,7,6,4,9
Enerla,Bengal,5.3,31,15,1,1,9,8,10,6,7
Snugums,Abyssinian,3.1,21,11,2,0,7,7,8,7,9
Akihiko,Munchkin,3.7,15,13,2,1,6,8,9,5,7
Frisky,Siamese,4.8,25,15,2,1,8,6,10,8,9
Daisy,Siamese,4.0,21,15,1,1,9,6,8,8,8
Bento,Scottish Fold,5.8,23,12,2,2,4,6,5,5,7
Shira,British Shorthair,6.0,26,13,2,1,6,7,5,3,8
Aragorn,British Shorthair,5.6,28,12,2,1,4,7,3,4,6
Osprey,Siamese,4.5,24,13,2,1,8,8,10,10,8
Morocco,Sphynx,3.5,20,12,0,0,7,5,7,8,7
Kipling,British Shorthair,4.3,25,15,2,1,6,6,4,2,7
Pixie,British Shorthair,4.9,28,15,2,1,5,6,5,2,8
Zippy,Munchkin,3.5,16,14,2,1,5,8,9,6,9
Kitty,Abyssinian,4.0,24,11,1,0,8,7,9,7,10
Diamond,Ragdoll,8.4,29,16,3,2,5,5,5,2,7
Hoshi,Persian,4.7,26,15,3,3,4,6,5,3,4
Adorable,Munchkin,3.2,21,14,2,1,7,8,9,5,7
Shiraz,Khao Manee,3.0,25,12,2,1,7,8,7,3,10
Lucky,Persian,5.8,28,13,3,3,4,6,5,4,4
Haruki,Munchkin,2.5,19,14,1,1,7,8,7,4,7
Muffin,Munchkin,3.4,15,12,2,1,6,6,7,4,9
Zipper,British Shorthair,4.8,27,16,2,1,4,6,4,2,6
Huggie,Ragdoll,4.6,31,15,3,2,5,6,4,3,7
Pawsie,British Shorthair,4.9,26,15,1,1,5,7,5,2,8
Butterbean,Munchkin,2.1,18,14,1,1,6,7,8,5,7
Cotton Candy,Ragdoll,6.7,25,15,3,2,5,7,6,2,8
Amaya,Scottish Fold,4.8,24,12,3,2,6,6,6,4,8
Cute,Khao Manee,4.9,22,15,1,1,7,7,8,5,10
Harmonica,Persian,5.0,28,13,3,3,4,5,4,4,6
Masaaki,Abyssinian,3.2,24,11,2,0,8,7,7,7,10
Akina,Siamese,5.9,26,12,2,1,9,8,10,10,8
Cho,Munchkin,2.7,16,12,1,1,5,6,8,4,7
Geronimo,Scottish Fold,4.8,23,15,3,2,4,6,5,4,9
Maiya,British Shorthair,4.2,26,15,2,1,4,5,5,3,8
Hiromi,Bengal,5.2,25,13,2,1,9,6,10,8,8
Euclid,Sphynx,4.1,24,14,0,0,7,5,6,9,9
Demi,British Shorthair,4.4,25,12,2,1,6,7,3,2,7
Snowflake,Munchkin,3.1,17,14,2,1,5,8,7,6,9
Lollipop,Scottish Fold,3.2,23,15,3,2,5,8,5,3,9
Wizard,Sphynx,4.8,23,13,0,0,7,5,7,7,9
Sora,Abyssinian,3.6,26,11,1,0,8,8,9,5,8
Minoru,Abyssinian,4.7,21,15,2,0,7,7,7,5,8
Ramses,British Shorthair,4.0,28,14,2,1,6,6,4,2,6
Hikari,British Shorthair,5.8,28,15,1,1,6,6,4,4,7
Honeybee,Siamese,4.6,21,13,2,1,7,6,9,10,10
Phoenix,Siamese,5.2,20,13,1,1,7,8,10,10,10
Butterbean,Sphynx,4.7,20,13,0,0,8,7,6,9,9
Goldilocks,Siamese,4.4,22,12,1,1,9,7,10,8,8
Hideo,Siamese,5.1,22,15,1,1,7,6,8,9,8
Rembrandt,British Shorthair,5.5,30,17,1,1,5,5,4,3,6
Daisuke,Siamese,3.2,25,13,2,1,9,7,8,9,8
Puggles,Bengal,6.3,27,13,1,1,8,8,10,8,8
Maiya,Scottish Fold,5.3,21,14,2,2,5,6,5,5,7
Fuku,Ragdoll,7.2,27,14,3,2,3,7,6,3,6
Donatello,Munchkin,2.4,18,12,1,1,7,7,8,4,7
Fuzzie,Sphynx,3.3,27,14,0,0,8,7,6,8,9
Akira,Khao Manee,3.5,21,16,2,1,7,8,9,5,10
Tamale,Ragdoll,8.0,25,17,3,2,3,5,4,3,8
Haiku,Siamese,5.3,21,14,1,1,8,7,9,9,8
Nao,Persian,4.7,32,15,3,3,3,5,3,4,5
Wicca,British Shorthair,4.7,26,17,1,1,6,7,4,3,6
Masaki,Siamese,4.3,20,15,2,1,7,7,10,8,8
Picasso,Scottish Fold,3.4,26,13,3,2,5,7,6,5,8
Poppy,Sphynx,5.0,20,12,0,0,7,5,5,8,9
Amigo,Persian,6.9,28,13,3,3,3,4,3,4,4
Polkadot,Bengal,4.6,27,13,1,1,10,8,10,6,9
Cutesy,Ragdoll,4.1,25,14,3,2,5,7,6,2,7
Cutesy,Siamese,4.0,23,13,1,1,7,6,9,8,10
Natsu,Ragdoll,5.6,26,14,3,2,3,5,6,4,7
Butterbean,Bengal,4.2,27,14,1,1,8,8,10,6,7
Chiffon,Scottish Fold,3.6,24,12,3,2,6,7,6,4,7
Fantasy,Persian,4.7,32,13,3,3,4,5,4,3,5
Domino,Abyssinian,4.1,24,10,1,0,7,7,9,7,9
Winky,Sphynx,4.8,25,12,0,0,8,7,5,7,9
Skittles,Munchkin,3.6,20,12,2,1,7,8,8,5,9
Wicca,Sphynx,4.0,26,14,0,0,7,6,7,7,9
Nietzsche,Bengal,7.4,29,15,1,1,8,7,9,8,8
Whitman,Munchkin,2.2,17,13,1,1,5,7,9,4,7
Simba,Bengal,5.9,31,13,1,1,10,8,10,6,7
Whiskers,Bengal,4.7,30,12,1,1,9,8,10,7,9
Wicca,Persian,5.1,29,12,3,3,5,4,3,2,6
Katsumi,Khao Manee,4.4,20,15,2,1,7,7,7,4,9
Ruby,British Shorthair,5.6,26,13,1,1,4,6,4,3,6
Escrow,Bengal,7.6,27,15,1,1,8,7,10,7,8
Dejavu,Persian,4.9,27,11,3,3,3,4,3,2,6
Lakshmi,Scottish Fold,4.4,23,14,3,2,4,8,7,3,8
Muppet,Munchkin,2.3,18,14,1,1,6,6,7,5,8
Barbie,Bengal,4.8,30,13,1,1,10,7,9,6,9
Yukio,Ragdoll,4.4,30,16,3,2,5,5,5,4,8
Boo,Sphynx,3.0,22,13,0,0,7,5,5,9,9
Ivory,Scottish Fold,5.2,20,15,2,2,4,6,7,3,8
Ferrari,Bengal,5.3,27,15,1,1,9,8,10,7,9
Hippie,Abyssinian,4.7,21,15,2,0,8,7,7,7,9
Gumdrop,Sphynx,3.8,21,12,0,0,8,6,7,7,9
Akihiro,Siamese,4.8,22,12,1,1,8,8,8,10,8
Koto,Persian,6.0,32,10,3,3,5,5,4,4,6
Baby Doll,Siamese,3.5,26,13,2,1,7,8,9,8,10
Jiro,Bengal,7.3,33,14,1,1,9,8,9,6,9
Hana,Persian,3.3,31,10,3,3,4,5,5,2,6
Dior,Sphynx,5.0,22,13,0,0,7,6,7,9,8
Amigo,Sphynx,4.3,23,13,0,0,7,7,6,8,8
Wizard,Munchkin,2.5,16,13,2,1,5,8,8,6,8
Goldilocks,Bengal,5.3,31,15,2,1,9,6,10,6,7
Maeko,Abyssinian,4.4,20,13,2,0,7,8,8,7,8
Hickle,Munchkin,3.5,19,13,1,1,7,7,7,5,7
Iggy,Munchkin,2.1,21,13,1,1,5,8,8,5,7
Jun,Abyssinian,4.5,26,11,2,0,8,6,7,7,8
Squanto,Ragdoll,6.1,31,12,3,2,4,6,5,4,7
Baby Bear,British Shorthair,6.4,27,16,1,1,4,5,4,4,6
Giggles,Siamese,4.1,25,12,2,1,8,8,10,9,8
Christmas,Khao Manee,4.4,24,13,2,1,7,7,7,4,10
Jiggles,Khao Manee,3.8,22,15,1,1,7,6,8,4,8
Balzac,Bengal,5.8,33,14,1,1,10,8,10,6,7
Keiji,Abyssinian,4.4,24,11,2,0,8,7,8,5,10
Kitty,British Shorthair,5.3,25,14,1,1,6,7,5,4,8
Corazon,Siamese,3.3,21,15,1,1,8,7,10,8,10
Suzuki,Sphynx,3.8,20,12,0,0,6,5,7,9,7
Penelope,Siamese,6.0,23,14,1,1,7,7,8,9,9
Midori,Khao Manee,4.3,22,14,1,1,6,7,7,3,10
Haruki,Ragdoll,4.4,31,16,3,2,3,7,6,3,6
Masuru,Khao Manee,4.6,21,12,2,1,8,8,7,3,9
Vonnegut,British Shorthair,4.5,27,12,1,1,6,7,4,2,6
Patches,Ragdoll,8.4,31,17,3,2,5,5,4,4,7
Akihiko,Siamese,5.0,25,14,1,1,8,8,8,9,9
Queenie,Khao Manee,4.7,23,15,2,1,6,7,7,4,10
Sweetie,Munchkin,2.9,16,13,2,1,6,6,9,6,8
Hikari,Bengal,5.7,26,13,2,1,8,8,10,8,8
Hercules,Persian,5.0,30,11,3,3,3,6,3,3,4
Kuro,Abyssinian,4.2,25,14,2,0,8,8,9,7,8
Apple,Scottish Fold,3.8,20,12,2,2,4,6,5,3,9
Rickles,British Shorthair,4.0,30,17,2,1,4,7,4,4,6
Checkers,British Shorthair,4.9,27,13,2,1,6,5,4,3,8
Demi,British Shorthair,6.8,25,17,2,1,6,7,5,4,8
Diamond,Sphynx,3.5,22,13,0,0,8,6,6,7,9
Skittles,Bengal,5.8,32,16,2,1,10,7,10,6,8
Jasmine,Ragdoll,8.4,26,13,3,2,3,7,4,4,8
Daisuke,Siamese,5.3,26,14,1,1,8,8,9,8,8
Hopper,Abyssinian,3.2,23,14,2,0,9,8,8,6,9
Yumi,Siamese,3.9,26,12,2,1,8,6,8,8,8
Snowbell,Scottish Fold,5.4,26,12,2,2,5,7,5,4,9
Amigo,Ragdoll,5.9,27,13,3,2,3,7,5,3,6
Cinnamon,Siamese,4.4,24,15,1,1,8,6,8,8,10
Tortie,Ragdoll,8.7,30,13,3,2,5,7,6,3,8
Cashmere,Sphynx,4.7,27,12,0,0,6,6,5,9,9
Houdini,Scottish Fold,3.1,20,15,3,2,5,6,6,3,9
Nibbles,Bengal,6.1,32,14,1,1,10,7,9,8,9
Lancelot,British Shorthair,6.2,26,12,1,1,4,5,4,4,8
Kiyoshi,Sphynx,3.6,27,13,0,0,6,6,7,8,8
Sweetie,Khao Manee,3.8,20,16,1,1,8,8,7,4,9
Maui,British Shorthair,5.3,29,14,2,1,4,5,3,4,7
Flipper,Siamese,5.0,24,12,2,1,8,8,8,10,8
Corazon,Ragdoll,6.7,25,13,3,2,5,6,5,3,6
Rickles,Ragdoll,6.1,32,15,3,2,3,5,4,3,6
Butterfly,Khao Manee,4.3,24,15,2,1,7,6,8,5,9
Tofu,Ragdoll,5.0,29,13,3,2,3,6,4,3,8
Sakura,Persian,4.3,26,14,3,3,5,6,4,3,6
Keiko,Sphynx,3.4,27,13,0,0,8,7,7,8,7
Squirrel,Siamese,4.3,20,12,2,1,7,7,8,10,8
Jiro,British Shorthair,6.0,30,14,1,1,4,6,4,2,6
Barbie,Sphynx,5.0,23,13,0,0,7,5,6,9,9
YinYang,Scottish Fold,6.0,26,13,3,2,6,7,6,4,9
Warrior,Persian,5.8,27,10,3,3,5,6,5,2,4
Christmas,Ragdoll,7.8,32,15,3,2,5,5,5,3,6
Buddha,Bengal,6.8,32,14,2,1,10,8,10,8,7
Yamaha,Khao Manee,4.6,23,13,2,1,8,8,7,4,10
Morocco,Khao Manee,4.8,23,12,1,1,6,6,7,4,9
YinYang,Bengal,5.5,35,12,2,1,9,8,10,6,9
Tuggles,Khao Manee,3.2,20,16,1,1,7,7,8,5,8
Violet,British Shorthair,6.5,30,13,1,1,6,6,5,4,8
Hazel,Bengal,5.5,31,16,2,1,9,8,9,6,8
Akihiko,Khao Manee,3.8,26,12,2,1,8,6,8,4,10
Cute,Bengal,7.5,32,13,1,1,10,6,10,6,7
Dejavu,Khao Manee,3.8,24,12,2,1,7,6,8,4,10
Zorro,Scottish Fold,4.8,20,12,2,2,6,7,7,4,9
Nintendo,Munchkin,2.1,19,13,1,1,6,7,7,4,7
Jiggles,Persian,3.7,25,15,3,3,3,4,3,2,4
Radar,Abyssinian,3.3,24,15,1,0,8,8,8,6,8
Snookums,Abyssinian,4.9,22,14,1,0,9,8,8,5,8
Elvis,Scottish Fold,3.2,25,15,3,2,6,8,6,4,8
Biscuit,Munchkin,3.2,19,13,2,1,5,6,9,4,9
Noriko,Sphynx,4.7,21,13,0,0,6,5,5,7,8
Squirrel,Sphynx,4.8,27,13,0,0,7,6,6,9,8
Rumi,Abyssinian,3.4,25,14,2,0,8,6,9,5,9
Arwa,Ragdoll,5.5,27,16,3,2,3,5,5,3,6
Daisy Love,Bengal,5.0,27,14,2,1,8,7,10,6,7
Pele,Sphynx,3.2,20,13,0,0,7,5,5,7,9
Tamika,Munchkin,3.7,15,14,2,1,7,6,8,5,7
Sweetness,Ragdoll,4.1,25,13,3,2,5,7,4,2,7
Quinella,British Shorthair,6.9,28,16,2,1,4,7,5,3,6
Sapphire,British Shorthair,6.8,29,12,1,1,5,7,5,2,7
Bubble,Munchkin,2.3,20,12,2,1,5,7,9,4,9
Aimi,Abyssinian,5.0,24,15,1,0,7,7,8,7,10
Wizard,Siamese,5.8,23,12,2,1,7,8,8,8,10
Yumi,Sphynx,4.2,23,13,0,0,7,6,6,9,7
Ivy,Scottish Fold,5.9,25,12,3,2,5,8,6,3,9
Snickers,Ragdoll,8.5,27,14,3,2,4,5,6,2,8
Oki,Khao Manee,4.9,21,13,2,1,7,7,9,5,10
Flipper,Bengal,7.8,26,13,2,1,10,8,10,7,8
Kabuki,Siamese,5.2,24,15,1,1,7,6,10,8,9
Koko,Sphynx,3.1,26,14,0,0,7,7,6,9,7
Hobbes,Scottish Fold,4.1,21,14,2,2,5,7,5,3,8
Lucky,Munchkin,3.8,17,12,1,1,6,8,9,4,9
Calypso,Persian,4.4,32,11,3,3,3,4,3,3,5
Gemini,British Shorthair,6.6,30,14,1,1,5,6,3,2,6
Nibbles,Ragdoll,4.0,31,12,3,2,4,7,6,2,6
Michi,British Shorthair,4.4,30,16,2,1,4,6,3,3,7
Jazzy,Abyssinian,3.4,22,10,1,0,8,7,8,5,10
Muffin,Khao Manee,5.0,25,13,2,1,7,6,8,4,8
Daffodil,Siamese,3.4,25,15,2,1,7,6,9,9,9
Hisashi,Persian,6.6,26,15,3,3,4,6,4,2,5
Buttercup,Munchkin,3.0,21,14,1,1,6,8,7,5,8
Twinkle,Persian,4.0,32,13,3,3,5,6,4,2,4
Electro,Persian,4.7,31,13,3,3,4,4,5,4,4
Euripides,Sphynx,3.0,21,13,0,0,7,5,5,8,8
Checkers,Scottish Fold,3.3,20,14,3,2,5,7,5,5,9
Marbles,Scottish Fold,3.7,20,12,2,2,6,6,6,3,7
Leia,Siamese,3.0,23,13,2,1,9,6,8,9,10
Hobo,Scottish Fold,3.9,20,12,3,2,4,7,5,5,8
Giggles,Bengal,6.3,35,15,1,1,10,7,9,7,9
Furrball,Khao Manee,3.5,20,12,1,1,7,6,7,5,9
More,Bengal,7.1,35,14,1,1,10,6,10,6,8
Cashmere,Siamese,5.5,25,14,2,1,8,6,8,8,8
Fuzzie,Persian,5.0,29,13,3,3,5,6,3,4,6
Juliette,Sphynx,4.0,26,14,0,0,6,6,5,7,7
Puggles,Abyssinian,4.2,20,13,1,0,7,6,7,7,9
Figaro,Abyssinian,4.4,20,15,1,0,7,7,9,6,10
Cupcake,Abyssinian,4.2,20,14,1,0,9,6,8,7,8
Jujube,Ragdoll,5.5,28,12,3,2,5,6,5,3,7
Hiroshi,Siamese,5.3,23,14,2,1,9,6,8,9,10
Jasmine,Persian,5.2,27,15,3,3,4,4,5,4,4
Fantasy,Siamese,3.5,26,14,1,1,9,6,8,8,9
Pharaoh,Abyssinian,4.4,22,11,2,0,7,6,9,6,9
Kabuki,Munchkin,3.7,18,12,2,1,6,7,9,6,8
Misty,Munchkin,2.4,19,13,2,1,5,8,9,5,7
Princess,Bengal,4.4,26,13,2,1,8,7,10,8,7
Amadeus,Scottish Fold,4.2,22,12,2,2,6,8,6,4,7
Hippie,Khao Manee,3.3,23,16,1,1,7,8,8,4,8
Mitsuo,Siamese,5.1,22,14,2,1,8,7,9,9,9
Yuki,Khao Manee,3.6,21,16,1,1,6,8,9,4,10
Aurora,Munchkin,2.0,19,14,1,1,5,8,7,5,8
Fresca,Sphynx,4.3,23,13,0,0,8,5,6,9,9
Morocco,Khao Manee,3.6,24,14,2,1,8,7,7,5,9
Fantasy,British Shorthair,4.2,29,15,2,1,5,5,5,3,6
Noriko,Khao Manee,3.9,24,14,1,1,7,7,9,3,8
Augustus,Scottish Fold,4.5,22,14,2,2,5,7,5,5,7
Gumdrop,Abyssinian,4.7,24,10,2,0,7,6,9,7,10
Blossom,Khao Manee,3.8,22,13,1,1,7,6,8,3,8
Sora,Bengal,4.5,35,16,1,1,9,7,9,8,8
Judo,Sphynx,3.7,26,13,0,0,7,6,7,7,9
Furrball,Munchkin,3.5,16,13,2,1,6,8,9,5,9
Kyoko,Munchkin,3.9,21,12,1,1,5,7,7,5,8
Sweetness,Munchkin,3.1,15,14,1,1,5,7,9,4,7
Reiko,Munchkin,3.7,20,12,2,1,6,8,7,4,8
Koto,Munchkin,3.2,16,12,1,1,6,8,7,4,8
Kaddish,Siamese,5.3,26,12,1,1,9,6,8,10,8
Olympia,Ragdoll,8.2,32,13,3,2,3,5,6,2,7
Phoenix,Bengal,7.0,30,12,1,1,8,7,10,8,8
Blueberry,Persian,6.4,28,14,3,3,3,5,3,4,6
Kitty,British Shorthair,6.5,28,17,1,1,5,5,3,4,7
Snookums,Sphynx,3.1,23,13,0,0,7,5,7,7,9
Nori,Sphynx,4.0,21,14,0,0,8,5,6,9,8
Cinnamon,Persian,4.6,28,15,3,3,5,6,5,3,6
Midori,Khao Manee,4.8,25,12,2,1,6,7,8,3,9
Kitkat,British Shorthair,6.2,25,14,1,1,6,5,5,4,7
Shiraz,Ragdoll,4.4,30,14,3,2,3,6,6,3,8
Huntress,Ragdoll,6.8,26,16,3,2,5,5,5,2,6
Muffin,Bengal,6.1,34,15,1,1,8,8,10,7,7
Crocket,Khao Manee,3.3,20,15,1,1,8,6,9,5,10
Hoshi,Scottish Fold,3.2,26,12,2,2,6,6,5,5,8
Schmoopy,Abyssinian,3.2,25,14,2,0,7,6,7,7,9
Quest,Persian,3.0,31,13,3,3,5,5,5,2,4
Kioshi,Sphynx,4.2,26,12,0,0,6,5,5,8,9
Icicles,Persian,3.3,30,11,3,3,5,4,5,4,4
Zaiden,Bengal,7.7,29,16,2,1,9,7,9,8,7
Vega,Khao Manee,4.4,20,16,1,1,6,6,9,4,9
Schmoopy,Scottish Fold,4.4,21,12,2,2,5,6,5,3,8
Hideki,Sphynx,4.7,27,13,0,0,6,7,6,8,8
Taffy,Abyssinian,3.7,22,13,1,0,9,8,9,6,10
Bambi,Persian,6.2,29,12,3,3,4,6,5,2,5
Isao,Scottish Fold,4.4,20,12,3,2,4,7,5,5,9
Angel,Abyssinian,4.5,23,10,2,0,9,8,7,7,8
Simba,Abyssinian,4.2,22,11,2,0,7,8,7,5,8
Tofu,British Shorthair,6.5,28,17,1,1,4,5,4,4,8
